show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Music & Musicals,Classic Movies,Documentaries,Sci-Fi & Fantasy,Faith & Spirituality,Thrillers,Dramas,Action & Adventure,Independent Movies,Cult Movies,LGBTQ Movies,Movies,Sports Movies,Children & Family Movies,Horror Movies,Comedies,Stand-Up Comedy,International Movies,Romantic Movies,avg_dur
s6626,Don Verdean,Jared Hess,"Sam Rockwell, Amy Ryan, Will Forte, Danny McBride, Jemaine Clement, Leslie Bibb, Steve Park, Sky Elobar, P.J. Boudousqué, Yaniv Moyal",2020-03-01,2015,PG-13,96,Comedies,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98
s6633,Don't Think Twice,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Chris Gethard, Richard Masur, Tami Sagher, Erin Darke",2017-05-01,2016,R,92,"Comedies, Dramas, Independent Movies",14.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,106
s6634,Donnie Brasco,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Zeljko Ivanek, Gerry Becker, Robert Miano, Zach Grenier",2020-01-01,1997,R,127,"Dramas, Thrillers",12.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,106
s6638,Doubt,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis, Alice Drummond, Audrie Neenan, Susan Blommaert, Carrie Preston, Lydia Jordan, Lloyd Clay Brown",2019-03-07,2008,PG-13,104,"Dramas, Faith & Spirituality",14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98
s6640,Dr. Seuss' The Cat in the Hat,Bo Welch,"Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning, Spencer Breslin, Amy Hill, Sean Hayes, Dan Castellaneta",2019-05-01,2003,PG,82,"Children & Family Movies, Comedies",11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,84
s6642,Dragonheart,Rob Cohen,"Sean Connery, Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Jason Isaacs, Brian Thompson, Julie Christie",2020-01-01,1996,PG-13,103,"Action & Adventure, Sci-Fi & Fantasy",13.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98
s6643,Dragonheart 3: The Sorcerer,Colin Teague,"Julian Morris, Tamzin Merchant, Ben Kingsley, Jassa Ahluwalia, Jonjo O'Neill, Dominic Mafham, Roger Ashton-Griffiths, Jake Curran, Duncan Preston, Ozama Oancea",2020-01-01,2015,PG-13,97,"Action & Adventure, Sci-Fi & Fantasy",14.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98
s6644,Dragonheart: A New Beginning,Doug Lefler,"Christopher Masterson, Harry Van Gorkum, Rona Figueroa, Matt Hickey, Henry O, Tom Burke, Robby Benson, Ken Shorter, John Woodnutt, Lubomir Misak",2020-01-01,2000,PG,84,"Action & Adventure, Sci-Fi & Fantasy",13.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84
s6645,Dragonheart: Battle for the Heartfire,Patrik Syversen,"Tom Rhys Harries, Jessamine-Bliss Bell, Patrick Stewart, André Eriksen, Richard Cordery, Martin Hutson, Turlough Convery, Delroy Brown, Tamzin Merchant",2017-06-13,2017,PG-13,98,"Action & Adventure, Sci-Fi & Fantasy",12.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98
s6656,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,"Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmán, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy",2019-10-01,2003,PG-13,85,Comedies,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98
s6658,Earth to Echo,Dave Green,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman",2019-10-01,2014,PG,91,"Children & Family Movies, Sci-Fi & Fantasy",16.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,84
s6662,East Side Sushi,Anthony Lucero,"Diana Elizabeth Torres, Yutaka Takeuchi, Rodrigo Duarte Clark, Kaya Jade Aguirre, Roji Oyama, Lane Nishikawa, Miyoko Sakatani",2020-09-15,2015,PG,106,Dramas,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84
s6663,Easy A,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka",2020-11-01,2010,PG-13,92,"Comedies, Romantic Movies",14.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,98
s6665,Eat Pray Love,Ryan Murphy,"Julia Roberts, James Franco, Javier Bardem, Richard Jenkins, Viola Davis, Billy Crudup, Hadi Subiyanto, Mike O'Malley, Tuva Novotny, Luca Argentero",2019-09-10,2010,PG-13,140,"Dramas, Romantic Movies",12.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,98
s6683,Elizabeth Harvest,Sebastian Gutierrez,"Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, Dylan Baker",2020-08-01,2019,R,109,"Dramas, Sci-Fi & Fantasy",15.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106
s6693,Employee of the Month,Greg Coolidge,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick, Tim Bagley, Brian George, Efren Ramirez, Marcello Thedford, Danny Woodburn, Harland Williams",2020-10-01,2006,PG-13,108,"Comedies, Romantic Movies",10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,98
s6697,End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime FitzSimons, Cody Horn, Shondrella Avery, America Ferrara",2019-11-23,2012,R,109,Action & Adventure,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106
s6704,Equilibrium,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen, Sean Bean, Sean Pertwee, Matthew Harbour, William Fichtner",2019-06-08,2002,R,107,"Action & Adventure, Dramas, Sci-Fi & Fantasy",14.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,106
s6711,Evan Almighty,Tom Shadyac,"Steve Carell, John Goodman, Molly Shannon, Lauren Graham, Graham Phillips, Johnny Simmons, Morgan Freeman, Wanda Sykes, John Michael Higgins, Jonah Hill, Jimmy Bennett",2019-04-16,2007,PG,96,"Children & Family Movies, Comedies, Faith & Spirituality",8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,84
s6716,Evolution,Ivan Reitman,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd",2019-11-20,2001,PG-13,102,"Comedies, Sci-Fi & Fantasy",19.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98
s6720,Executive Decision,Stuart Baird,"Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley",2019-11-01,1996,R,133,Action & Adventure,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106
s6722,Exit Strategy,Michael Whitton,"Jameel Saleem, Kimelia Weathers, Quincy Harris, Big Boy, Kevin Hart, Misty Alli, Noelle Balfour, Sid Burston, Carlos Castillo, Liz Hernandez, Nick Sinise",2019-03-03,2012,NR,79,"Comedies, Romantic Movies",13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,106
s6723,Exit Wounds,Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes",2019-10-01,2001,R,101,Action & Adventure,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106
