show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Faith & Spirituality,Children & Family Movies,International Movies,Comedies,Sports Movies,Music & Musicals,Horror Movies,Thrillers,Documentaries,Dramas,Cult Movies,Classic Movies,Stand-Up Comedy,Romantic Movies,Independent Movies,LGBTQ Movies,Movies,Sci-Fi & Fantasy,Action & Adventure,n
s351,Space Cowboys,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Rade Serbedzija, Barbara Babcock, Blair Brown",8/1/21,2000,PG-13,130,"Action & Adventure, Dramas, Sci-Fi & Fantasy",13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
s354,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind, Cicely Tyson, Andrea Frankle, Brad James, Lance E. Nichols",8/1/21,2013,R,101,Horror Movies,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
s355,The Last Boy Scout,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill",8/1/21,1991,R,105,"Action & Adventure, Comedies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s356,The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Peña, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher",8/1/21,2011,R,118,"Dramas, Thrillers",13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
s359,The Net,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett",8/1/21,1995,PG-13,114,Thrillers,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
s360,The Original Kings of Comedy,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",8/1/21,2000,R,111,Stand-Up Comedy,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
s361,Valentine's Day,Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift",8/1/21,2010,PG-13,125,"Comedies, Romantic Movies",14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
s393,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",7/24/21,2012,R,165,"Action & Adventure, Dramas",14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
s434,Milkwater,Morgan Ingari,"Molly Bernard, Patrick Breen, Robin de Jesús, Ava Eisenson, Ade Otukoya",7/20/21,2020,TV-MA,102,"Comedies, Dramas, Independent Movies",19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
s438,Cosmic Sin,Edward Drake,"Frank Grillo, Bruce Willis, Brandon Thomas Lee, Corey Large, Perrey Reeves, C.J. Perry, Lochlyn Munro, Costas Mandylor, Adelaide Kane, Eva De Dominici, Sarah May Sommers, Trevor Gretzky",7/17/21,2021,R,88,Action & Adventure,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s446,The Beguiled,Sofia Coppola,"Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Oona Laurence, Angourie Rice, Addison Riecke, Emma Howard",7/16/21,2017,R,94,"Dramas, Independent Movies, Thrillers",15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
s447,The Book of Henry,Colin Trevorrow,"Naomi Watts, Jaeden Martell, Jacob Tremblay, Sarah Silverman, Dean Norris, Lee Pace, Maddie Ziegler, Tonya Pinkins, Bobby Moynihan, Geraldine Hughes",7/16/21,2017,PG-13,105,Dramas,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
s448,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Peter Facinelli, Elizabeth Reaser, Kellan Lutz, Nikki Reed, Jackson Rathbone, Ashley Greene",7/16/21,2011,PG-13,117,"Dramas, Romantic Movies",14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s449,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene, Jackson Rathbone, Kellan Lutz, Nikki Reed, Billy Burke",7/16/21,2012,PG-13,115,"Dramas, Romantic Movies",15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s450,The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Billy Burke, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Ashley Greene, Nikki Reed",7/16/21,2010,PG-13,124,"Dramas, Romantic Movies",14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
